jugador_id;nombre;equipo;posicion;nacionalidad;temporada;partidos;minutos;goles;asistencias;contrib;xg;xa;salario_eur;goles_por90;asistencias_por90;contrib_por90;xg_por90;xa_por90
10;Jugador_010;Equipo_18;DEF;URU;2023/24;30;2498;0;0;0;4,776144677846954;6,616641191670487;1247592,0;0,0;0,0;0,0;0,17207887149969012;0,23838979473592628
11;Jugador_011;Equipo_15;MID;NED;2022/23;31;2537;2;5;7;4,940365680964655;15,058664428490173;967510,0;0,07094994087504927;0,1773748521876232;0,24832479306267247;0,17525932648278242;0,5342056754292928
11;Jugador_011;Equipo_15;MID;NED;2023/24;23;1821;2;2;4;5,572676202161638;9,739693896487486;967510,0;0,09884678747940692;0,09884678747940692;0,19769357495881384;0,27542057012330995;0,4813687263502876
12;Jugador_012;Equipo_18;MID;NED;2022/23;27;2326;3;2;5;5,815291592600873;10,639186879018704;1026606,0;0,11607910576096303;0,07738607050730868;0,1934651762682717;0,22501128260278525;0,41166243298008737
12;Jugador_012;Equipo_18;MID;NED;2023/24;26;2062;4;1;5;6,444669888605748;10,298461399735974;1026606,0;0,17458777885548013;0,04364694471387003;0,21823472356935017;0,281290150327118;0,4494963753522006
13;Jugador_013;Equipo_03;MID;CMR;2022/23;31;2605;1;3;4;2,818356841431537;11,202921089470246;810630,0;0,0345489443378119;0,1036468330134357;0,1381957773512476;0,09737125363870953;0,3870490971410066
13;Jugador_013;Equipo_03;MID;CMR;2023/24;29;2460;2;5;7;3,9189415347800645;12,205249383801362;810630,0;0,07317073170731707;0,1829268292682927;0,25609756097560976;0,14337590980902673;0,44653351404151326
14;Jugador_014;Equipo_19;FWD;GER;2022/23;29;2422;10;4;14;21,583541014778866;11,279784277650242;952463,0;0,37159372419488024;0,1486374896779521;0,5202312138728323;0,8020308386994623;0,4191497047846911
14;Jugador_014;Equipo_19;FWD;GER;2023/24;28;2230;9;4;13;15,461363604409108;11,118505889866842;952463,0;0,3632286995515695;0,16143497757847533;0,5246636771300448;0,6240012217026097;0,44872893725919993
15;Jugador_015;Equipo_07;DEF;BRA;2022/23;25;2023;1;3;4;4,607105957755037;11,139462578411706;1501830,0;0,044488383588729606;0,13346515076618884;0,17795353435491842;0,2049626970825276;0,49557668416067896
15;Jugador_015;Equipo_07;DEF;BRA;2023/24;26;2177;0;1;1;3,275585834642165;5,805160821153682;1501830,0;0,0;0,04134129536058796;0,04134129536058796;0,1354169614688998;0,23999286812302772
16;Jugador_016;Equipo_06;MID;ARG;2022/23;29;2335;4;3;7;10,145859148702904;13,617991001356435;1112316,0;0,15417558886509636;0,11563169164882227;0,2698072805139186;0,39106095219839887;0,5248904454484279
16;Jugador_016;Equipo_06;MID;ARG;2023/24;21;1658;0;3;3;2,691008635373313;9,710910486906705;1112316,0;0,0;0,16284680337756333;0,16284680337756333;0,14607405137732096;0,5271302435594714
17;Jugador_017;Equipo_02;DEF;ITA;2022/23;28;2296;1;0;1;4,468186203813041;6,691520389735061;858675,0;0,039198606271777;0,0;0,039198606271777;0,17514667175225335;0,2622982731167925
17;Jugador_017;Equipo_02;DEF;ITA;2023/24;26;2183;0;0;0;2,939774552880082;6,225234704271856;858675,0;0,0;0,0;0,0;0,12120005027906888;0,2566519117656743
18;Jugador_018;Equipo_14;DEF;GER;2022/23;24;2013;1;0;1;3,4554715204798767;6,397356097372298;1037775,0;0,044709388971684055;0,0;0,044709388971684055;0,15449202028971132;0,2860218821477928
18;Jugador_018;Equipo_14;DEF;GER;2023/24;24;1975;1;0;1;2,9451835427865802;5,5588373293174635;1037775,0;0,04556962025316456;0,0;0,04556962025316456;0,1342108956206543;0,2533141061461123
19;Jugador_019;Equipo_14;DEF;NED;2022/23;23;1919;2;0;2;3,424210307839751;6,017505146911871;930546,0;0,09379885356956748;0,0;0,09379885356956748;0,16059350062823222;0,2822175420646526
19;Jugador_019;Equipo_14;DEF;NED;2023/24;25;2144;0;1;1;3,120512751997968;6,331732412155345;930546,0;0,0;0,041977611940298504;0,041977611940298504;0,13099167335812364;0,2657910061072673
20;Jugador_020;Equipo_07;GK;FRA;2022/23;36;2854;0;0;0;5,75637255572787;9,27756096956077;1318375,0;0,0;0,0;0,0;0,18152541346023413;0,2925649920323999
20;Jugador_020;Equipo_07;GK;FRA;2023/24;34;2736;0;0;0;3,0805568146994613;6,870742751656584;1318375,0;0,0;0,0;0,0;0,10133410574669281;0,22601127472554552
21;Jugador_021;Equipo_19;MID;FRA;2022/23;25;2030;3;4;7;6,328732519505269;12,51731553917589;856297,0;0,1330049261083744;0,1773399014778325;0,3103448275862069;0,28058420037215476;0,5549548761210985
21;Jugador_021;Equipo_19;MID;FRA;2023/24;27;2366;1;5;6;3,444925925567091;12,5420499955174;856297,0;0,03803888419273035;0,19019442096365174;0,22823330515638207;0,131041138335181;0,4770855873189206
22;Jugador_022;Equipo_11;DEF;ESP;2022/23;30;2552;0;1;1;5,286196393669497;9,20168133156303;818179,0;0,0;0,03526645768025078;0,03526645768025078;0,18642542140683963;0,32451070526672127
22;Jugador_022;Equipo_11;DEF;ESP;2023/24;30;2538;1;0;1;5,373793554556695;4,7659699702317955;818179,0;0,03546099290780142;0,0;0,03546099290780142;0,19056005512612392;0,16900602731318423
23;Jugador_023;Equipo_14;DEF;NED;2022/23;25;2017;0;0;0;1,8290024515308136;5,87072297952513;673032,0;0,0;0,0;0,0;0,08161141330578743;0,26195590885337716
23;Jugador_023;Equipo_14;DEF;NED;2023/24;30;2408;1;1;2;3,0274624082921577;9,488134200509963;673032,0;0,03737541528239203;0,03737541528239203;0,07475083056478406;0,11315266476175008;0,3546229559991265
24;Jugador_024;Equipo_06;DEF;ITA;2022/23;27;2276;2;0;2;4,720115765304322;7,304919639583288;1021228,0;0,07908611599297012;0,0;0,07908611599297012;0,18664781145755227;0,2888588609677047
24;Jugador_024;Equipo_06;DEF;ITA;2023/24;24;1907;2;0;2;4,7888873678233095;5,247740704680956;1021228,0;0,09438909281594127;0,0;0,09438909281594127;0,2260093671232815;0,24766474222406187
25;Jugador_025;Equipo_07;MID;CRO;2022/23;27;2268;1;7;8;4,161251991723147;13,886470371798636;1171309,0;0,03968253968253968;0,2777777777777778;0,31746031746031744;0,16512904729060107;0,5510504115793109
25;Jugador_025;Equipo_07;MID;CRO;2023/24;30;2558;1;2;3;4,197715197345686;13,360583717495508;1171309,0;0,035183737294761534;0,07036747458952307;0,10555121188428461;0,1476913087416387;0,4700752676210304
26;Jugador_026;Equipo_10;MID;ARG;2022/23;28;2305;4;2;6;9,079098443312454;9,939999285275064;1089808,0;0,1561822125813449;0,07809110629067245;0,23427331887201736;0,3544984207800958;0,3881127703578116
26;Jugador_026;Equipo_10;MID;ARG;2023/24;26;2064;5;4;9;8,25810678404129;10,288900548499575;1089808,0;0,2180232558139535;0,1744186046511628;0,39244186046511625;0,36009186558319584;0,44864391926596986
27;Jugador_027;Equipo_08;DEF;GER;2022/23;29;2474;0;0;0;4,726660522368895;7,9822717651609905;559165,0;0,0;0,0;0,0;0,17194803840468897;0,29038175378516135
27;Jugador_027;Equipo_08;DEF;GER;2023/24;29;2332;1;1;2;4,851552548411929;8,751379187049709;559165,0;0,038593481989708404;0,038593481989708404;0,07718696397941681;0,18723830589925972;0,3377461950405119
28;Jugador_028;Equipo_14;DEF;URU;2022/23;27;2240;1;3;4;3,796568766821209;8,748114511811023;799416,0;0,040178571428571425;0,12053571428571429;0,1607142857142857;0,15254070938120928;0,35148674377812145
28;Jugador_028;Equipo_14;DEF;URU;2023/24;27;2243;0;1;1;1,5465547558136923;6,959772699825875;799416,0;0,0;0,04012483281319661;0,04012483281319661;0,06205525101347851;0,27925971599836324
29;Jugador_029;Equipo_15;MID;ESP;2022/23;24;1963;1;4;5;2,7342602944910643;10,757133461485859;1180790,0;0,04584819154355578;0,18339276617422312;0,22924095771777891;0,12536088971176557;0,4931951154017969
29;Jugador_029;Equipo_15;MID;ESP;2023/24;30;2297;3;5;8;7,101107964181693;13,655885620619166;1180790,0;0,1175446234218546;0,195907705703091;0,3134523291249456;0,27823235384255657;0,5350586442558664
30;Jugador_030;Equipo_19;MID;NED;2022/23;29;2483;0;4;4;3,0234548176208857;12,93946602252225;1017945,0;0,0;0,1449859041482078;0,1449859041482078;0,10958958259600472;0,46901004511760064
30;Jugador_030;Equipo_19;MID;NED;2023/24;26;2253;1;4;5;4,971274990177919;11,116603173258728;1017945,0;0,03994673768308921;0,15978695073235685;0,1997336884154461;0,19858621798313925;0,4440720308891636
31;Jugador_031;Equipo_14;DEF;FRA;2022/23;23;1964;1;0;1;3,6388177491639144;6,735815955562136;567620,0;0,045824847250509164;0,0;0,045824847250509164;0,16674826752787794;0,3086677372711773
31;Jugador_031;Equipo_14;DEF;FRA;2023/24;29;2455;1;2;3;4,354905281188846;9,026178392328106;567620,0;0,03665987780040733;0,07331975560081466;0,10997963340122201;0,15965029544073162;0,33089859686742545
32;Jugador_032;Equipo_19;FWD;POR;2022/23;27;2225;16;6;22;23,68084972107796;11,199277205593184;966068,0;0,6471910112359551;0,24269662921348314;0,8898876404494381;0,9578770673694456;0,4530044712374771
32;Jugador_032;Equipo_19;FWD;POR;2023/24;26;2211;11;5;16;15,969365777705068;10,675530687347667;966068,0;0,44776119402985076;0,203527815468114;0,6512890094979648;0,6500420262295143;0,43455348795173676
33;Jugador_033;Equipo_20;DEF;BRA;2022/23;24;1989;1;2;3;4,367334441292093;6,230244269091102;753622,0;0,045248868778280535;0,09049773755656107;0,13574660633484165;0,19761694304489108;0,28191150538873766
33;Jugador_033;Equipo_20;DEF;BRA;2023/24;26;2097;1;1;2;2,848794958316984;8,079009807359345;753622,0;0,04291845493562232;0,04291845493562232;0,08583690987124463;0,12226587803935553;0,34673861834160274
34;Jugador_034;Equipo_10;DEF;ENG;2022/23;27;2171;0;0;0;4,827911658789481;4,745107748003039;511345,0;0,0;0,0;0,0;0,20014373527915857;0,19671105357912183
34;Jugador_034;Equipo_10;DEF;ENG;2023/24;24;2073;1;1;2;2,931033930304125;6,266276231342383;511345,0;0,043415340086830685;0,043415340086830685;0,08683068017366137;0,12725183489019357;0,27205251366175326
35;Jugador_035;Equipo_01;MID;CMR;2022/23;24;2044;3;0;3;7,12626178669752;6,347448540408807;831819,0;0,13209393346379647;0,0;0,13209393346379647;0,31377865009920586;0,2794864817205443
35;Jugador_035;Equipo_01;MID;CMR;2023/24;23;1967;2;3;5;4,510072547428347;8,38463056286498;831819,0;0,09150991357397051;0,13726487036095578;0,22877478393492626;0,20635817451375255;0,38363840907872304
36;Jugador_036;Equipo_03;DEF;POR;2022/23;31;2568;1;2;3;7,50389672580338;9,163294300511922;1135674,0;0,035046728971962614;0,07009345794392523;0,10514018691588785;0,26298703478282875;0,32114349184037105
36;Jugador_036;Equipo_03;DEF;POR;2023/24;28;2145;3;0;3;4,934790176517989;6,7753622909990305;1135674,0;0,1258741258741259;0,0;0,1258741258741259;0,2070541332804751;0,28428093528667264
37;Jugador_037;Equipo_20;FWD;ITA;2022/23;27;2150;16;4;20;24,8392591657037;9,412512092178506;1254978,0;0,6697674418604651;0,16744186046511628;0,8372093023255813;1,039782941820155;0,3940121340911933
37;Jugador_037;Equipo_20;FWD;ITA;2023/24;25;2030;6;4;10;12,45444037890234;10,323114859841656;1254978,0;0,2660098522167488;0,1773399014778325;0,4433497536945813;0,5521673074390201;0,457675043047167
38;Jugador_038;Equipo_20;DEF;BRA;2022/23;29;2341;0;1;1;4,625609022998223;6,696134747921187;836947,0;0,0;0,03844510892780863;0,03844510892780863;0,17783204274662112;0,25743362977911444
38;Jugador_038;Equipo_20;DEF;BRA;2023/24;29;2308;2;1;3;3,975032255929069;7,999193457285153;836947,0;0,0779896013864818;0,0389948006932409;0,11698440207972272;0,1550055905691578;0,31192695457351116
39;Jugador_039;Equipo_09;FWD;NED;2022/23;31;2586;8;9;17;16,889370989390216;12,158384810063836;1562265,0;0,27842227378190254;0,31322505800464034;0,5916473317865429;0,5877971342015156;0,42314564304166485
39;Jugador_039;Equipo_09;FWD;NED;2023/24;26;2141;9;6;15;15,248668633122652;11,244035890534006;1562265,0;0,37832788416627744;0,25221858944418496;0,6305464736104623;0,6409996155913306;0,4726591453283795
40;Jugador_040;Equipo_08;MID;CMR;2022/23;24;2002;1;3;4;2,97292848096144;10,552411708143156;512652,0;0,04495504495504495;0,13486513486513488;0,1798201798201798;0,13364813350975505;0,4743841427237183
40;Jugador_040;Equipo_08;MID;CMR;2023/24;25;2054;3;2;5;5,575936347581126;9,582104135662522;512652,0;0,1314508276533593;0,08763388510223953;0,21908471275559885;0,24432048261066278;0,41985850643117184
41;Jugador_041;Equipo_05;DEF;URU;2022/23;23;1872;1;2;3;2,5557838225251284;8,190922691846847;1169921,0;0,04807692307692308;0,09615384615384616;0,14423076923076922;0,12287422223678501;0,3937943601849445
41;Jugador_041;Equipo_05;DEF;URU;2023/24;25;2040;1;3;4;4,627410048079795;9,062334493984038;1169921,0;0,044117647058823525;0,1323529411764706;0,1764705882352941;0,20415044329763798;0,39980887473458987
42;Jugador_042;Equipo_08;GK;FRA;2022/23;37;3044;0;0;0;4,988545912169097;10,2551115897468;1277566,0;0,0;0,0;0,0;0,14749314457792992;0,30320632164165967
42;Jugador_042;Equipo_08;GK;FRA;2023/24;38;3128;0;0;0;4,363099025887578;7,0128476693557475;1277566,0;0,0;0,0;0,0;0,12553673667835105;0,20177630762212828
43;Jugador_043;Equipo_14;FWD;CMR;2022/23;24;1781;12;0;12;21,318275482371273;4,881480904347821;1056905,0;0,6064008983717013;0,0;0,6064008983717013;1,0772851170204463;0,24667786714840198
43;Jugador_043;Equipo_14;FWD;CMR;2023/24;24;1908;5;1;6;12,145515187324971;4,9378667499104285;1056905,0;0,2358490566037736;0,04716981132075472;0,2830188679245283;0,5729016597794798;0,23291824292030322
44;Jugador_044;Equipo_14;MID;CRO;2022/23;18;1522;1;4;5;3,2863630726196824;6,989094101076382;305774,0;0,05913272010512484;0,23653088042049936;0,2956636005256242;0,19433158773703774;0,41328414526732876
44;Jugador_044;Equipo_14;MID;CRO;2023/24;24;1984;4;2;6;6,175392179776393;10,560567687680491;305774,0;0,1814516129032258;0,0907258064516129;0,2721774193548387;0,2801337178325985;0,4790580100258287
45;Jugador_045;Equipo_02;DEF;POR;2022/23;29;2194;1;1;2;4,667245833871337;7,223500140662771;831479,0;0,04102096627164995;0,04102096627164995;0,0820419325432999;0,19145493393273488;0,2963149556333862
45;Jugador_045;Equipo_02;DEF;POR;2023/24;26;2125;0;0;0;4,2677981473275315;4,589767031173105;831479,0;0,0;0,0;0,0;0,1807538038868131;0,19439013308497857
46;Jugador_046;Equipo_20;DEF;POR;2022/23;25;2008;1;0;1;4,164266652539736;6,877389248900287;740877,0;0,044820717131474105;0,0;0,044820717131474105;0,18664541769351403;0,3082495181280009
46;Jugador_046;Equipo_20;DEF;POR;2023/24;24;2055;2;1;3;5,773305540898978;6,518665129202509;740877,0;0,08759124087591241;0,043795620437956206;0,1313868613138686;0,25284549814156104;0,2854889837606938
47;Jugador_047;Equipo_13;MID;ARG;2022/23;24;2041;1;0;1;3,6635856744498883;8,003265000561168;950910,0;0,04409603135717785;0,0;0,04409603135717785;0,16154958878024986;0,3529122244245493
47;Jugador_047;Equipo_13;MID;ARG;2023/24;27;2186;5;7;12;7,997641074836385;14,704766775288824;950910,0;0,2058554437328454;0,2881976212259835;0,4940530649588289;0,32927159045529486;0,6054112579030166
48;Jugador_048;Equipo_07;MID;ARG;2022/23;28;2248;3;7;10;5,676681881494269;16,651749033921973;947847,0;0,1201067615658363;0,2802491103202847;0,40035587188612104;0,2272692924085784;0,6666625502904705
48;Jugador_048;Equipo_07;MID;ARG;2023/24;24;2098;5;2;7;7,472164454536674;8,744540921360436;947847,0;0,21448999046711154;0,08579599618684461;0,30028598665395617;0,32054089652445217;0,3751232997723733
49;Jugador_049;Equipo_15;DEF;ENG;2022/23;30;2500;1;0;1;3,5078217634028785;7,452317775489271;884599,0;0,036000000000000004;0,0;0,036000000000000004;0,12628158348250362;0,2682834399176138
49;Jugador_049;Equipo_15;DEF;ENG;2023/24;21;1709;0;0;0;3,117513507967559;3,6169438922795223;884599,0;0,0;0,0;0,0;0,16417566747634893;0,19047685799014452
50;Jugador_050;Equipo_14;MID;ESP;2022/23;22;1770;3;4;7;5,5621497285728285;9,423244341154456;852501,0;0,15254237288135591;0,2033898305084746;0,3559322033898305;0,28282117263929635;0,47914801734683676
50;Jugador_050;Equipo_14;MID;ESP;2023/24;26;2236;1;2;3;5,099403433977675;10,114808675986987;852501,0;0,04025044722719141;0,08050089445438283;0,12075134168157423;0,20525326880947709;0,4071255728259521
51;Jugador_051;Equipo_04;DEF;URU;2022/23;29;2389;2;0;2;4,8633218667373885;7,217487817617086;329636,0;0,07534533277521976;0,0;0,07534533277521976;0,18321430222116575;0,271902010709727
51;Jugador_051;Equipo_04;DEF;URU;2023/24;28;2359;1;3;4;4,63922823431011;9,871957785605895;329636,0;0,03815175922000848;0,11445527766002545;0,1526070368800339;0,1769947185620644;0,37663255646652416
52;Jugador_052;Equipo_02;MID;POR;2022/23;26;2211;2;3;5;6,01217354530613;10,686139235732362;746970,0;0,0814111261872456;0,12211668928086837;0,203527815468114;0,2447289095782685;0,43498531488734177
52;Jugador_052;Equipo_02;MID;POR;2023/24;27;2182;3;3;6;6,533004719287646;11,34381115775805;746970,0;0,12373968835930338;0,12373968835930338;0,24747937671860676;0,26946398933817056;0,46789321915592325
53;Jugador_053;Equipo_08;MID;CRO;2022/23;32;2786;3;5;8;7,261909717397582;12,357325784874579;1031245,0;0,09691313711414214;0,16152189519023688;0,25843503230437903;0,23459148405089103;0,39919573605122477
53;Jugador_053;Equipo_08;MID;CRO;2023/24;28;2360;0;4;4;4,207061821105771;11,806689616838606;1031245,0;0,0;0,15254237288135591;0,15254237288135591;0,16043879826250823;0,45025511250655703
54;Jugador_054;Equipo_09;MID;POR;2022/23;26;2131;2;2;4;6,7591378718872095;9,50704021814569;654877,0;0,08446738620366025;0,08446738620366025;0,1689347724073205;0,2854633545142416;0,4015174188799212
54;Jugador_054;Equipo_09;MID;POR;2023/24;31;2508;4;3;7;8,152233595730593;10,07023379777297;654877,0;0,14354066985645933;0,10765550239234449;0,2511961722488038;0,2925442677893753;0,3613720262358721
55;Jugador_055;Equipo_12;MID;URU;2022/23;26;2142;0;4;4;4,555339493931457;12,345562224038359;520175,0;0,0;0,16806722689075632;0,16806722689075632;0,19140081907275028;0,5187211018503513
55;Jugador_055;Equipo_12;MID;URU;2023/24;28;2304;0;1;1;4,325030244268605;10,671838057365346;520175,0;0,0;0,0390625;0,0390625;0,16894649391674238;0,41686867411583384
56;Jugador_056;Equipo_08;MID;ESP;2022/23;27;2345;2;4;6;5,768026216461829;10,545029893130298;298787,0;0,07675906183368869;0,15351812366737738;0,23027718550106613;0,2213741405038655;0,4047133008024421
56;Jugador_056;Equipo_08;MID;ESP;2023/24;23;1766;4;1;5;6,694762712774524;8,831702725989162;298787,0;0,20385050962627407;0,05096262740656852;0,2548131370328426;0,34118269770651594;0,4500867753901611
57;Jugador_057;Equipo_14;MID;ARG;2022/23;29;2430;1;3;4;5,883370785221618;11,865885835283567;760098,0;0,037037037037037035;0,1111111111111111;0,14814814814814814;0,21790262167487476;0,43947725315865066
57;Jugador_057;Equipo_14;MID;ARG;2023/24;25;1980;5;3;8;8,198843688877924;10,004447942203686;760098,0;0,2272727272727273;0,13636363636363635;0,36363636363636365;0,3726747131308147;0,4547476337365312
58;Jugador_058;Equipo_17;MID;ARG;2022/23;28;2312;3;0;3;5,830754751971772;8,754871051228388;1093414,0;0,11678200692041522;0,0;0,11678200692041522;0,22697574726533715;0,34080380389729886
58;Jugador_058;Equipo_17;MID;ARG;2023/24;22;1729;1;2;3;4,5999207139106355;7,146035461221155;1093414,0;0,05205320994794679;0,10410641989589357;0,15615962984384038;0,2394406386650996;0,3719740841584176
59;Jugador_059;Equipo_09;MID;CMR;2022/23;28;2327;2;6;8;4,018858688214636;13,03252330817102;1233474,0;0,07735281478298238;0,23205844434894712;0,3094112591319295;0,15543501587422315;0,5040511808059269
59;Jugador_059;Equipo_09;MID;CMR;2023/24;24;1959;0;3;3;1,8188888113286237;10,379765634789125;1233474,0;0,0;0,13782542113323124;0,13782542113323124;0,08356303880529665;0,4768651899596842
60;Jugador_060;Equipo_02;FWD;NED;2022/23;25;2014;9;6;15;18,808552247461908;11,92810000213441;1663991,0;0,4021847070506455;0,26812313803376364;0,6703078450844091;0,8405013417435808;0,5330332672254702
60;Jugador_060;Equipo_02;FWD;NED;2023/24;32;2707;13;4;17;19,942781407376554;10,137454935826321;1663991,0;0,43221278167713334;0,1329885482083487;0,565201329885482;0,6630403866508643;0,33704135361077536
61;Jugador_061;Equipo_16;MID;CRO;2022/23;26;2150;4;4;8;5,513001367757;12,097389973928912;825833,0;0,16744186046511628;0,16744186046511628;0,33488372093023255;0,2307768014409907;0,5064023710016754
61;Jugador_061;Equipo_16;MID;CRO;2023/24;27;2234;4;4;8;7,624642011153581;14,62461229321203;825833,0;0,1611459265890779;0,1611459265890779;0,3222918531781558;0,3071700004493385;0,5891741747489179
62;Jugador_062;Equipo_03;FWD;CRO;2022/23;25;1962;6;5;11;11,268369002627214;10,287733129161667;1133448,0;0,27522935779816515;0,22935779816513763;0,5045871559633027;0,5168976606709731;0,47191436372301226
62;Jugador_062;Equipo_03;FWD;CRO;2023/24;31;2556;11;5;16;21,65147622649895;11,201792154557408;1133448,0;0,3873239436619718;0,17605633802816903;0,5633802816901409;0,7623759234682728;0,39442930121681014
63;Jugador_063;Equipo_11;DEF;ENG;2022/23;29;2360;0;1;1;4,357097758224505;8,75910610565817;643080,0;0,0;0,03813559322033898;0,03813559322033898;0,16616050772890062;0,3340337074191675
63;Jugador_063;Equipo_11;DEF;ENG;2023/24;26;2096;2;1;3;4,174119673749624;7,09633647823186;643080,0;0,08587786259541984;0,04293893129770992;0,12881679389312978;0,17923223789955448;0,30470910450423067
64;Jugador_064;Equipo_11;DEF;GER;2022/23;25;2088;0;2;2;2,444391348792472;8,534566514801568;633769,0;0,0;0,08620689655172413;0,08620689655172413;0,10536169606864104;0,3678692463276538
64;Jugador_064;Equipo_11;DEF;GER;2023/24;26;2123;0;3;3;3,155945333408843;9,146350824311966;633769,0;0,0;0,12717852096090437;0,12717852096090437;0,13378948657880163;0,38773979000851483
65;Jugador_065;Equipo_18;MID;GER;2022/23;26;2123;1;5;6;3,1453900864964766;13,376686185861299;511125,0;0,04239284032030146;0,2119642016015073;0,25435704192180875;0,13334201968190432;0,5670757214920005
65;Jugador_065;Equipo_18;MID;GER;2023/24;26;2033;2;2;4;5,600017391808407;9,128720248991877;511125,0;0,08853910477127397;0,08853910477127397;0,17707820954254794;0,2479102632871405;0,4041243592765711
66;Jugador_066;Equipo_20;DEF;ESP;2022/23;30;2484;0;0;0;1,9977565857357131;8,410734501217537;560288,0;0,0;0,0;0,0;0,07238248499042439;0,3047367572904905
66;Jugador_066;Equipo_20;DEF;ESP;2023/24;30;2521;3;1;4;7,115084751379066;7,889226830727285;560288,0;0,10710035700119;0,03570011900039667;0,14280047600158668;0,2540093723221404;0,28164633667808636
67;Jugador_067;Equipo_14;DEF;URU;2022/23;25;2022;0;1;1;2,8676974328512532;7,064825836673677;785027,0;0,0;0,044510385756676554;0,044510385756676554;0,12764231896964034;0,31445812329408057
67;Jugador_067;Equipo_14;DEF;URU;2023/24;24;1941;0;3;3;2,2099528742788492;9,08138059558269;785027,0;0,0;0,1391035548686244;0,1391035548686244;0,10247076696810739;0,4210841079868326
